merchant_id,merchant_name,merchant_category,merchant_segment
MER0652,Merchant_0652,Travel,Medium
MER0653,Merchant_0653,Retail,Large
MER0654,Merchant_0654,Utilities,Small
MER0655,Merchant_0655,Services,Small
MER0656,Merchant_0656,Services,Medium
MER0657,Merchant_0657,E-commerce,Small
MER0658,Merchant_0658,Retail,Large
MER0659,Merchant_0659,Entertainment,Small
MER0660,Merchant_0660,Retail,Medium
MER0661,Merchant_0661,Retail,Medium
MER0662,Merchant_0662,E-commerce,Medium
MER0663,Merchant_0663,Services,Medium
MER0664,Merchant_0664,Services,Small
MER0665,Merchant_0665,Education,Small
MER0666,Merchant_0666,Retail,Large
MER0667,Merchant_0667,Entertainment,Large
MER0668,Merchant_0668,Food & Dining,Small
MER0669,Merchant_0669,Services,Large
MER0670,Merchant_0670,Travel,Medium
MER0671,Merchant_0671,Travel,Medium
MER0672,Merchant_0672,Utilities,Small
MER0673,Merchant_0673,Retail,Medium
MER0674,Merchant_0674,Utilities,Small
MER0675,Merchant_0675,E-commerce,Medium
MER0676,Merchant_0676,Entertainment,Small
MER0677,Merchant_0677,Retail,Medium
MER0678,Merchant_0678,Entertainment,Small
MER0679,Merchant_0679,Education,Small
MER0680,Merchant_0680,Healthcare,Small
MER0681,Merchant_0681,Healthcare,Small
MER0682,Merchant_0682,Retail,Medium
MER0683,Merchant_0683,Education,Small
MER0684,Merchant_0684,Travel,Enterprise
MER0685,Merchant_0685,Retail,Medium
MER0686,Merchant_0686,Utilities,Medium
MER0687,Merchant_0687,Utilities,Small
MER0688,Merchant_0688,Travel,Small
MER0689,Merchant_0689,Entertainment,Small
MER0690,Merchant_0690,Food & Dining,Medium
MER0691,Merchant_0691,Utilities,Small
MER0692,Merchant_0692,Entertainment,Medium
MER0693,Merchant_0693,Healthcare,Small
MER0694,Merchant_0694,Healthcare,Enterprise
MER0695,Merchant_0695,E-commerce,Small
MER0696,Merchant_0696,Education,Small
MER0697,Merchant_0697,Education,Medium
MER0698,Merchant_0698,Grocery,Large
MER0699,Merchant_0699,Healthcare,Medium
MER0700,Merchant_0700,Travel,Small
MER0701,Merchant_0701,Services,Medium
MER0702,Merchant_0702,Food & Dining,Large
MER0703,Merchant_0703,E-commerce,Small
MER0704,Merchant_0704,Entertainment,Small
MER0705,Merchant_0705,Travel,Large
MER0706,Merchant_0706,E-commerce,Large
MER0707,Merchant_0707,E-commerce,Medium
MER0708,Merchant_0708,Entertainment,Enterprise
MER0709,Merchant_0709,Healthcare,Small
MER0710,Merchant_0710,E-commerce,Medium
MER0711,Merchant_0711,Entertainment,Medium
MER0712,Merchant_0712,E-commerce,Medium
MER0713,Merchant_0713,Food & Dining,Medium
MER0714,Merchant_0714,E-commerce,Large
MER0715,Merchant_0715,Retail,Small
MER0716,Merchant_0716,Healthcare,Small
MER0717,Merchant_0717,Grocery,Small
MER0718,Merchant_0718,Retail,Medium
MER0719,Merchant_0719,Food & Dining,Small
MER0720,Merchant_0720,Entertainment,Large
MER0721,Merchant_0721,Food & Dining,Small
MER0722,Merchant_0722,Services,Small
MER0723,Merchant_0723,Services,Medium
MER0724,Merchant_0724,E-commerce,Medium
MER0725,Merchant_0725,Food & Dining,Small
MER0726,Merchant_0726,Education,Medium
MER0727,Merchant_0727,Grocery,Small
MER0728,Merchant_0728,Utilities,Small
MER0729,Merchant_0729,Services,Small
MER0730,Merchant_0730,Healthcare,Medium
MER0731,Merchant_0731,Grocery,Small
MER0732,Merchant_0732,Entertainment,Large
MER0733,Merchant_0733,Food & Dining,Medium
MER0734,Merchant_0734,Healthcare,Small
MER0735,Merchant_0735,E-commerce,Small
MER0736,Merchant_0736,Retail,Small
MER0737,Merchant_0737,Grocery,Medium
MER0738,Merchant_0738,Healthcare,Medium
MER0739,Merchant_0739,Travel,Medium
MER0740,Merchant_0740,Retail,Small
MER0741,Merchant_0741,Entertainment,Small
MER0742,Merchant_0742,E-commerce,Small
MER0743,Merchant_0743,Retail,Small
MER0744,Merchant_0744,Utilities,Small
MER0745,Merchant_0745,E-commerce,Large
MER0746,Merchant_0746,Grocery,Medium
MER0747,Merchant_0747,Retail,Medium
MER0748,Merchant_0748,Education,Small
MER0749,Merchant_0749,Entertainment,Small
MER0750,Merchant_0750,Grocery,Small
MER0751,Merchant_0751,Healthcare,Small
MER0752,Merchant_0752,Healthcare,Medium
MER0753,Merchant_0753,Entertainment,Small
MER0754,Merchant_0754,Retail,Large
MER0755,Merchant_0755,Services,Enterprise
MER0756,Merchant_0756,Utilities,Small
MER0757,Merchant_0757,Healthcare,Medium
MER0758,Merchant_0758,Food & Dining,Medium
MER0759,Merchant_0759,E-commerce,Small
MER0760,Merchant_0760,Food & Dining,Large
MER0761,Merchant_0761,Entertainment,Small
MER0762,Merchant_0762,Services,Medium
MER0763,Merchant_0763,Entertainment,Small
MER0764,Merchant_0764,Services,Small
MER0765,Merchant_0765,Utilities,Medium
MER0766,Merchant_0766,Services,Large
MER0767,Merchant_0767,Utilities,Small
MER0768,Merchant_0768,Travel,Small
MER0769,Merchant_0769,Retail,Small
MER0770,Merchant_0770,Travel,Small
MER0771,Merchant_0771,Education,Medium
MER0772,Merchant_0772,Services,Medium
MER0773,Merchant_0773,Education,Large
MER0774,Merchant_0774,Education,Medium
MER0775,Merchant_0775,Entertainment,Large
MER0776,Merchant_0776,Retail,Medium
MER0777,Merchant_0777,Services,Large
MER0778,Merchant_0778,Retail,Small
MER0779,Merchant_0779,Entertainment,Medium
MER0780,Merchant_0780,Travel,Enterprise
MER0781,Merchant_0781,Education,Medium
MER0782,Merchant_0782,Education,Large
MER0783,Merchant_0783,E-commerce,Small
MER0784,Merchant_0784,Grocery,Large
MER0785,Merchant_0785,Travel,Medium
MER0786,Merchant_0786,Travel,Small
MER0787,Merchant_0787,Entertainment,Small
MER0788,Merchant_0788,Retail,Small
MER0789,Merchant_0789,Healthcare,Large
MER0790,Merchant_0790,Travel,Medium
MER0791,Merchant_0791,Grocery,Large
MER0792,Merchant_0792,Healthcare,Small
MER0793,Merchant_0793,E-commerce,Large
MER0794,Merchant_0794,Utilities,Medium
MER0795,Merchant_0795,E-commerce,Small
MER0796,Merchant_0796,Entertainment,Small
MER0797,Merchant_0797,Services,Enterprise
MER0798,Merchant_0798,Entertainment,Small
MER0799,Merchant_0799,Grocery,Small
MER0800,Merchant_0800,Food & Dining,Small
MER0801,Merchant_0801,Services,Small
MER0802,Merchant_0802,Utilities,Large
MER0803,Merchant_0803,Grocery,Medium
MER0804,Merchant_0804,Entertainment,Medium
MER0805,Merchant_0805,Education,Large
MER0806,Merchant_0806,Services,Medium
MER0807,Merchant_0807,Travel,Large
MER0808,Merchant_0808,Travel,Small
MER0809,Merchant_0809,Food & Dining,Enterprise
MER0810,Merchant_0810,Education,Small
MER0811,Merchant_0811,Food & Dining,Medium
MER0812,Merchant_0812,E-commerce,Medium
MER0813,Merchant_0813,Travel,Small
MER0814,Merchant_0814,Travel,Small
MER0815,Merchant_0815,Grocery,Small
MER0816,Merchant_0816,Grocery,Small
MER0817,Merchant_0817,Entertainment,Medium
MER0818,Merchant_0818,Healthcare,Enterprise
MER0819,Merchant_0819,Food & Dining,Medium
MER0820,Merchant_0820,Education,Medium
MER0821,Merchant_0821,Education,Small
MER0822,Merchant_0822,Retail,Small
MER0823,Merchant_0823,Food & Dining,Medium
MER0824,Merchant_0824,Healthcare,Enterprise
MER0825,Merchant_0825,Entertainment,Large
MER0826,Merchant_0826,Travel,Small
MER0827,Merchant_0827,Utilities,Medium
MER0828,Merchant_0828,Food & Dining,Medium
MER0829,Merchant_0829,Education,Medium
MER0830,Merchant_0830,Education,Medium
MER0831,Merchant_0831,E-commerce,Medium
MER0832,Merchant_0832,Travel,Small
MER0833,Merchant_0833,Entertainment,Large
MER0834,Merchant_0834,Services,Small
MER0835,Merchant_0835,Retail,Medium
MER0836,Merchant_0836,Retail,Large
MER0837,Merchant_0837,Grocery,Medium
MER0838,Merchant_0838,Travel,Small
MER0839,Merchant_0839,Education,Small
MER0840,Merchant_0840,Travel,Medium
MER0841,Merchant_0841,Education,Small
MER0842,Merchant_0842,Grocery,Small
MER0843,Merchant_0843,E-commerce,Small
MER0844,Merchant_0844,Food & Dining,Large
MER0845,Merchant_0845,Entertainment,Small
MER0846,Merchant_0846,Retail,Medium
MER0847,Merchant_0847,Utilities,Small
MER0848,Merchant_0848,Travel,Medium
MER0849,Merchant_0849,Healthcare,Small
MER0850,Merchant_0850,Entertainment,Medium
MER0851,Merchant_0851,Food & Dining,Medium
MER0852,Merchant_0852,E-commerce,Small
MER0853,Merchant_0853,E-commerce,Large
MER0854,Merchant_0854,Utilities,Large
MER0855,Merchant_0855,Retail,Small
MER0856,Merchant_0856,Grocery,Medium
MER0857,Merchant_0857,Grocery,Medium
MER0858,Merchant_0858,Food & Dining,Small
MER0859,Merchant_0859,Grocery,Small
MER0860,Merchant_0860,Retail,Large
MER0861,Merchant_0861,Healthcare,Medium
MER0862,Merchant_0862,Education,Large
MER0863,Merchant_0863,Entertainment,Medium
MER0864,Merchant_0864,Services,Small
MER0865,Merchant_0865,Entertainment,Small
MER0866,Merchant_0866,Grocery,Medium
MER0867,Merchant_0867,Entertainment,Medium
MER0868,Merchant_0868,Grocery,Small
MER0869,Merchant_0869,Grocery,Medium
MER0870,Merchant_0870,Education,Large
MER0871,Merchant_0871,Education,Medium
MER0872,Merchant_0872,Utilities,Small
MER0873,Merchant_0873,Healthcare,Small
MER0874,Merchant_0874,Healthcare,Large
MER0875,Merchant_0875,Services,Large
MER0876,Merchant_0876,Retail,Small
MER0877,Merchant_0877,Travel,Large
MER0878,Merchant_0878,Retail,Small
MER0879,Merchant_0879,Services,Small
MER0880,Merchant_0880,Healthcare,Small
MER0881,Merchant_0881,Utilities,Small
MER0882,Merchant_0882,Retail,Large
MER0883,Merchant_0883,Food & Dining,Medium
MER0884,Merchant_0884,Retail,Small
MER0885,Merchant_0885,Education,Large
MER0886,Merchant_0886,Services,Large
MER0887,Merchant_0887,Retail,Small
MER0888,Merchant_0888,Services,Medium
MER0889,Merchant_0889,Food & Dining,Medium
MER0890,Merchant_0890,Healthcare,Medium
MER0891,Merchant_0891,Healthcare,Medium
MER0892,Merchant_0892,Grocery,Small
MER0893,Merchant_0893,Food & Dining,Small
MER0894,Merchant_0894,E-commerce,Large
MER0895,Merchant_0895,Retail,Large
MER0896,Merchant_0896,Retail,Small
MER0897,Merchant_0897,Grocery,Small
MER0898,Merchant_0898,Utilities,Large
MER0899,Merchant_0899,Education,Small
MER0900,Merchant_0900,Travel,Small
MER0901,Merchant_0901,Entertainment,Small
MER0902,Merchant_0902,Education,Small
MER0903,Merchant_0903,E-commerce,Small
MER0904,Merchant_0904,Education,Medium
MER0905,Merchant_0905,Grocery,Small
MER0906,Merchant_0906,Food & Dining,Enterprise
MER0907,Merchant_0907,E-commerce,Large
MER0908,Merchant_0908,Entertainment,Large
MER0909,Merchant_0909,Education,Large
MER0910,Merchant_0910,Healthcare,Medium
MER0911,Merchant_0911,Food & Dining,Small
MER0912,Merchant_0912,Travel,Small
MER0913,Merchant_0913,Retail,Small
MER0914,Merchant_0914,Healthcare,Small
MER0915,Merchant_0915,Entertainment,Medium
MER0916,Merchant_0916,Grocery,Enterprise
MER0917,Merchant_0917,Utilities,Small
MER0918,Merchant_0918,Services,Medium
MER0919,Merchant_0919,Education,Medium
MER0920,Merchant_0920,Services,Small
MER0921,Merchant_0921,Food & Dining,Large
MER0922,Merchant_0922,Grocery,Medium
MER0923,Merchant_0923,Utilities,Small
MER0924,Merchant_0924,Travel,Large
MER0925,Merchant_0925,Entertainment,Medium
MER0926,Merchant_0926,Entertainment,Medium
MER0927,Merchant_0927,Services,Medium
MER0928,Merchant_0928,E-commerce,Medium
MER0929,Merchant_0929,Services,Small
MER0930,Merchant_0930,Utilities,Large
MER0931,Merchant_0931,Utilities,Large
MER0932,Merchant_0932,Entertainment,Medium
MER0933,Merchant_0933,Services,Medium
MER0934,Merchant_0934,Healthcare,Large
MER0935,Merchant_0935,E-commerce,Small
MER0936,Merchant_0936,Entertainment,Enterprise
MER0937,Merchant_0937,Food & Dining,Medium
MER0938,Merchant_0938,Education,Small
MER0939,Merchant_0939,Food & Dining,Medium
MER0940,Merchant_0940,Education,Medium
MER0941,Merchant_0941,Utilities,Small
MER0942,Merchant_0942,E-commerce,Medium
MER0943,Merchant_0943,Grocery,Medium
MER0944,Merchant_0944,Education,Medium
MER0945,Merchant_0945,Food & Dining,Small
MER0946,Merchant_0946,Entertainment,Medium
MER0947,Merchant_0947,Travel,Medium
MER0948,Merchant_0948,Healthcare,Enterprise
MER0949,Merchant_0949,Services,Large
MER0950,Merchant_0950,Education,Large
MER0951,Merchant_0951,Utilities,Small
MER0952,Merchant_0952,Grocery,Large
MER0953,Merchant_0953,Travel,Small
MER0954,Merchant_0954,Travel,Small
MER0955,Merchant_0955,Education,Small
MER0956,Merchant_0956,Travel,Large
MER0957,Merchant_0957,Healthcare,Small
MER0958,Merchant_0958,Healthcare,Small
MER0959,Merchant_0959,Utilities,Small
MER0960,Merchant_0960,Travel,Medium
MER0961,Merchant_0961,Education,Large
MER0962,Merchant_0962,Entertainment,Small
MER0963,Merchant_0963,Utilities,Medium
MER0964,Merchant_0964,E-commerce,Small
MER0965,Merchant_0965,Services,Small
MER0966,Merchant_0966,Utilities,Small
MER0967,Merchant_0967,Travel,Small
MER0968,Merchant_0968,Travel,Medium
MER0969,Merchant_0969,Services,Small
MER0970,Merchant_0970,Healthcare,Large
MER0971,Merchant_0971,Food & Dining,Enterprise
MER0972,Merchant_0972,Grocery,Small
MER0973,Merchant_0973,Grocery,Small
MER0974,Merchant_0974,E-commerce,Medium
MER0975,Merchant_0975,Utilities,Small
MER0976,Merchant_0976,Education,Small
MER0977,Merchant_0977,E-commerce,Small
MER0978,Merchant_0978,Healthcare,Large
MER0979,Merchant_0979,Services,Medium
MER0980,Merchant_0980,Retail,Small
MER0981,Merchant_0981,Utilities,Small
MER0982,Merchant_0982,Food & Dining,Small
MER0983,Merchant_0983,E-commerce,Small
MER0984,Merchant_0984,Retail,Medium
MER0985,Merchant_0985,Food & Dining,Large
MER0986,Merchant_0986,Retail,Small
MER0987,Merchant_0987,Retail,Small
MER0988,Merchant_0988,Education,Small
MER0989,Merchant_0989,Travel,Small
MER0990,Merchant_0990,Services,Large
MER0991,Merchant_0991,Travel,Small
MER0992,Merchant_0992,Healthcare,Small
MER0993,Merchant_0993,Food & Dining,Small
MER0994,Merchant_0994,Grocery,Medium
MER0995,Merchant_0995,Services,Large
MER0996,Merchant_0996,Utilities,Small
MER0997,Merchant_0997,Entertainment,Small
MER0998,Merchant_0998,Services,Small
MER0999,Merchant_0999,Travel,Medium
MER1000,Merchant_1000,Grocery,Medium
