device_id,device_type,os_version,app_version
DEV02742,iOS,iOS 17,v4.2
DEV02743,iOS,macOS,v4.2
DEV02744,Web,Windows 11,v5.1
DEV02745,Web,iOS 17,v5.0
DEV02746,Android,Android 15,v5.0
DEV02747,iOS,iOS 17,v4.3
DEV02748,Web,iOS 17,v5.0
DEV02749,Web,iOS 17,v4.1
DEV02750,Android,macOS,v4.1
DEV02751,Android,iOS 17,v4.2
DEV02752,Android,Windows 11,v5.1
DEV02753,POS,macOS,v4.2
DEV02754,iOS,Android 15,v5.1
DEV02755,Android,iOS 17,v4.2
DEV02756,Android,iOS 17,v5.1
DEV02757,Android,Android 13,v5.1
DEV02758,iOS,iOS 17,v4.2
DEV02759,iOS,Android 15,v4.3
DEV02760,iOS,Windows 11,v4.1
DEV02761,Android,Android 15,v5.0
DEV02762,Android,Android 14,v4.1
DEV02763,Web,iOS 17,v5.0
DEV02764,Android,iOS 18,v5.1
DEV02765,Web,Android 14,v4.2
DEV02766,Android,Android 15,v4.2
DEV02767,Android,Android 14,v5.0
DEV02768,iOS,iOS 18,v4.2
DEV02769,POS,Android 13,v4.2
DEV02770,Android,iOS 18,v4.2
DEV02771,iOS,Windows 11,v4.1
DEV02772,iOS,Windows 11,v4.2
DEV02773,Android,Android 14,v4.3
DEV02774,Android,iOS 17,v5.0
DEV02775,POS,Android 13,v4.1
DEV02776,Android,Windows 11,v4.1
DEV02777,Web,iOS 18,v5.1
DEV02778,POS,iOS 17,v5.1
DEV02779,Android,iOS 18,v4.2
DEV02780,Android,Android 15,v4.1
DEV02781,Android,iOS 17,v4.1
DEV02782,Android,Android 15,v4.2
DEV02783,Android,Android 13,v5.0
DEV02784,iOS,Android 13,v4.1
DEV02785,Web,Android 13,v5.1
DEV02786,iOS,macOS,v4.2
DEV02787,POS,Android 13,v4.1
DEV02788,Android,Android 15,v5.1
DEV02789,Android,Android 15,v4.3
DEV02790,Android,Windows 11,v4.1
DEV02791,Android,Android 14,v4.2
DEV02792,Android,Android 14,v5.1
DEV02793,iOS,Android 15,v4.1
DEV02794,Web,Android 13,v5.1
DEV02795,POS,Android 14,v4.2
DEV02796,Android,iOS 17,v4.1
DEV02797,Web,Android 15,v4.2
DEV02798,Web,iOS 17,v5.0
DEV02799,Android,Android 13,v4.1
DEV02800,Android,Windows 11,v4.1
DEV02801,POS,Android 15,v5.1
DEV02802,iOS,Android 14,v4.1
DEV02803,POS,Windows 11,v5.0
DEV02804,iOS,macOS,v5.1
DEV02805,Android,Android 14,v5.1
DEV02806,Android,iOS 17,v4.3
DEV02807,POS,macOS,v4.1
DEV02808,Android,Android 15,v4.3
DEV02809,Android,Windows 11,v5.0
DEV02810,iOS,Android 13,v4.1
DEV02811,Android,iOS 18,v4.3
DEV02812,Android,iOS 18,v4.3
DEV02813,iOS,macOS,v5.1
DEV02814,Android,Windows 11,v4.3
DEV02815,Android,Android 13,v4.3
DEV02816,Android,Android 14,v4.1
DEV02817,iOS,iOS 18,v4.1
DEV02818,Android,Android 13,v5.1
DEV02819,Android,Windows 11,v4.1
DEV02820,Web,Windows 11,v5.0
DEV02821,Android,Windows 11,v5.1
DEV02822,Android,iOS 17,v5.0
DEV02823,iOS,Android 14,v4.1
DEV02824,Android,Android 13,v4.1
DEV02825,Android,Windows 11,v5.1
DEV02826,iOS,iOS 17,v4.3
DEV02827,Web,Android 15,v4.2
DEV02828,Web,iOS 18,v4.2
DEV02829,iOS,macOS,v4.1
DEV02830,iOS,iOS 18,v5.0
DEV02831,Web,iOS 18,v5.1
DEV02832,Android,macOS,v4.3
DEV02833,Android,Android 13,v4.1
DEV02834,iOS,Android 15,v5.0
DEV02835,Android,Android 13,v4.1
DEV02836,Web,Windows 11,v4.2
DEV02837,Android,Android 13,v4.1
DEV02838,Android,Android 15,v5.0
DEV02839,Web,Windows 11,v4.2
DEV02840,Android,Windows 11,v4.1
DEV02841,iOS,iOS 17,v4.2
DEV02842,Android,Windows 11,v5.1
DEV02843,Android,Android 14,v5.0
DEV02844,Android,iOS 18,v5.0
DEV02845,Android,Android 15,v5.1
DEV02846,POS,iOS 17,v5.0
DEV02847,Web,Windows 11,v5.0
DEV02848,iOS,Android 15,v4.1
DEV02849,Web,macOS,v4.3
DEV02850,iOS,Android 14,v4.1
DEV02851,Android,Android 15,v5.1
DEV02852,Android,macOS,v5.1
DEV02853,iOS,Android 15,v4.3
DEV02854,Android,iOS 17,v4.1
DEV02855,Android,macOS,v4.1
DEV02856,Web,iOS 18,v4.1
DEV02857,Android,iOS 18,v4.2
DEV02858,Android,iOS 17,v4.2
DEV02859,Android,iOS 17,v4.1
DEV02860,iOS,Android 13,v4.2
DEV02861,Android,macOS,v4.1
DEV02862,iOS,Android 13,v5.1
DEV02863,Android,Android 14,v4.1
DEV02864,iOS,macOS,v4.2
DEV02865,Android,Android 13,v4.3
DEV02866,POS,Android 13,v5.1
DEV02867,iOS,Android 15,v5.0
DEV02868,Web,Android 15,v4.3
DEV02869,Web,macOS,v4.3
DEV02870,iOS,iOS 17,v5.0
DEV02871,Android,Windows 11,v5.1
DEV02872,iOS,iOS 18,v5.0
DEV02873,Web,Android 14,v5.1
DEV02874,iOS,Android 13,v5.1
DEV02875,Android,Android 15,v5.1
DEV02876,Android,iOS 18,v4.3
DEV02877,Android,macOS,v5.1
DEV02878,Android,Android 13,v5.0
DEV02879,POS,Windows 11,v4.3
DEV02880,Android,iOS 18,v5.1
DEV02881,Android,Android 15,v4.2
DEV02882,Web,iOS 17,v4.2
DEV02883,Web,Windows 11,v5.1
DEV02884,iOS,Windows 11,v4.2
DEV02885,Android,Android 13,v4.1
DEV02886,Android,Android 13,v4.3
DEV02887,Android,Android 14,v4.1
DEV02888,Android,Android 13,v4.3
DEV02889,Android,Android 15,v5.0
DEV02890,Android,macOS,v4.2
DEV02891,POS,iOS 18,v4.2
DEV02892,Android,Windows 11,v4.2
DEV02893,iOS,iOS 18,v5.1
DEV02894,POS,iOS 17,v4.3
DEV02895,iOS,Windows 11,v5.1
DEV02896,Android,Windows 11,v4.2
DEV02897,Android,iOS 17,v5.0
DEV02898,POS,Android 15,v4.2
DEV02899,Android,iOS 18,v5.1
DEV02900,Web,Windows 11,v4.2
DEV02901,Web,iOS 17,v4.1
DEV02902,Android,Windows 11,v4.1
DEV02903,Web,iOS 17,v5.1
DEV02904,POS,Android 14,v4.1
DEV02905,iOS,Android 14,v4.3
DEV02906,Android,macOS,v4.3
DEV02907,Web,Android 15,v5.1
DEV02908,iOS,Android 15,v4.1
DEV02909,Web,Android 15,v4.3
DEV02910,iOS,Android 15,v4.1
DEV02911,Android,iOS 18,v4.2
DEV02912,Android,Android 13,v4.1
DEV02913,Android,Android 15,v4.1
DEV02914,Android,Android 14,v5.1
DEV02915,Android,Windows 11,v4.2
DEV02916,Android,Android 13,v4.3
DEV02917,Android,Android 13,v4.3
DEV02918,Web,iOS 18,v4.1
DEV02919,Web,iOS 17,v5.0
DEV02920,iOS,macOS,v5.0
DEV02921,iOS,Windows 11,v4.3
DEV02922,Android,Windows 11,v4.1
DEV02923,iOS,Android 13,v4.1
DEV02924,iOS,iOS 18,v4.2
DEV02925,Web,iOS 18,v5.1
DEV02926,Android,iOS 18,v5.0
DEV02927,Web,Android 15,v4.1
DEV02928,Web,Windows 11,v4.3
DEV02929,iOS,iOS 17,v5.0
DEV02930,Android,Android 15,v5.1
DEV02931,iOS,Android 14,v4.1
DEV02932,iOS,iOS 17,v5.0
DEV02933,iOS,Android 15,v4.1
DEV02934,iOS,iOS 17,v5.1
DEV02935,Android,Android 14,v4.2
DEV02936,Android,Android 15,v5.0
DEV02937,Android,iOS 17,v5.1
DEV02938,Android,Android 14,v4.2
DEV02939,Android,macOS,v4.2
DEV02940,Android,Windows 11,v5.1
DEV02941,Android,iOS 18,v4.3
DEV02942,Web,iOS 17,v5.1
DEV02943,Web,Android 14,v4.1
DEV02944,Android,Windows 11,v4.3
DEV02945,Android,macOS,v4.2
DEV02946,Web,iOS 18,v5.0
DEV02947,iOS,macOS,v4.2
DEV02948,Android,Android 14,v5.0
DEV02949,Web,Windows 11,v5.0
DEV02950,Android,Windows 11,v5.1
DEV02951,iOS,Windows 11,v5.1
DEV02952,POS,macOS,v4.2
DEV02953,Android,Android 13,v5.1
DEV02954,POS,Android 14,v4.2
DEV02955,Android,Android 15,v5.1
DEV02956,iOS,Android 15,v5.1
DEV02957,iOS,Android 15,v5.0
DEV02958,Web,Android 15,v4.3
DEV02959,Android,macOS,v5.1
DEV02960,iOS,Windows 11,v5.1
DEV02961,Web,Windows 11,v4.2
DEV02962,iOS,Android 13,v5.0
DEV02963,Android,Android 13,v5.0
DEV02964,Android,Android 13,v4.3
DEV02965,iOS,iOS 18,v4.3
DEV02966,Web,iOS 17,v4.3
DEV02967,Android,macOS,v5.1
DEV02968,iOS,Android 15,v4.2
DEV02969,Android,macOS,v4.1
DEV02970,Android,iOS 17,v4.2
DEV02971,Android,Android 15,v5.0
DEV02972,iOS,macOS,v4.3
DEV02973,POS,Android 15,v4.1
DEV02974,Web,Android 15,v5.0
DEV02975,Android,macOS,v4.3
DEV02976,iOS,Android 13,v4.1
DEV02977,Android,Windows 11,v4.2
DEV02978,Android,iOS 18,v5.0
DEV02979,Android,Android 15,v5.1
DEV02980,Android,Android 15,v4.1
DEV02981,iOS,Android 15,v4.1
DEV02982,iOS,Android 14,v4.2
DEV02983,POS,macOS,v4.2
DEV02984,Android,Android 15,v5.0
DEV02985,Android,Android 13,v5.1
DEV02986,Android,Android 13,v4.3
DEV02987,Android,iOS 17,v4.1
DEV02988,POS,macOS,v4.1
DEV02989,Android,Windows 11,v5.0
DEV02990,POS,Windows 11,v4.3
DEV02991,Android,Android 13,v4.3
DEV02992,Android,iOS 17,v4.3
DEV02993,Android,iOS 18,v5.0
DEV02994,Web,Android 14,v4.1
DEV02995,Android,Android 13,v4.2
DEV02996,POS,macOS,v4.1
DEV02997,Android,Android 15,v4.2
DEV02998,Android,macOS,v4.2
DEV02999,iOS,macOS,v5.0
DEV03000,Android,iOS 18,v4.3
DEV03001,Android,Android 15,v5.0
DEV03002,Web,iOS 17,v4.2
DEV03003,Android,macOS,v4.1
DEV03004,iOS,macOS,v4.2
DEV03005,Android,iOS 17,v5.0
DEV03006,Android,macOS,v4.1
DEV03007,Android,Android 14,v4.3
DEV03008,iOS,macOS,v5.0
DEV03009,Web,iOS 18,v5.1
DEV03010,iOS,iOS 17,v4.2
DEV03011,Web,Android 15,v4.3
DEV03012,Android,Windows 11,v4.3
DEV03013,Android,macOS,v4.1
DEV03014,Android,Android 13,v5.0
DEV03015,Web,Android 13,v4.2
DEV03016,Web,Windows 11,v5.1
DEV03017,Android,iOS 18,v4.2
DEV03018,Android,iOS 18,v5.0
DEV03019,Web,iOS 17,v4.3
DEV03020,Web,Android 13,v5.1
DEV03021,Web,Windows 11,v4.1
DEV03022,Android,Android 14,v5.0
DEV03023,iOS,Windows 11,v4.2
DEV03024,Web,Android 14,v5.0
DEV03025,Android,Windows 11,v4.1
DEV03026,iOS,Windows 11,v4.2
DEV03027,Android,Windows 11,v5.1
DEV03028,Android,Windows 11,v4.2
DEV03029,POS,Windows 11,v4.2
DEV03030,POS,macOS,v4.1
DEV03031,iOS,Windows 11,v4.2
DEV03032,Android,macOS,v5.0
DEV03033,Web,Android 14,v4.3
DEV03034,Android,Android 14,v4.1
DEV03035,Android,iOS 17,v4.1
DEV03036,Android,Windows 11,v4.1
DEV03037,iOS,Android 15,v5.0
DEV03038,Android,macOS,v5.0
DEV03039,iOS,Android 14,v5.0
DEV03040,Android,iOS 17,v5.0
DEV03041,Web,Android 14,v4.2
DEV03042,POS,macOS,v4.1
DEV03043,Web,Android 14,v4.1
DEV03044,iOS,Windows 11,v5.1
DEV03045,Android,macOS,v4.3
DEV03046,Web,Android 15,v4.2
DEV03047,POS,macOS,v4.3
DEV03048,Android,Android 14,v4.2
DEV03049,iOS,iOS 17,v4.2
DEV03050,Android,macOS,v4.2
DEV03051,Android,Windows 11,v4.1
DEV03052,Android,iOS 17,v4.3
DEV03053,POS,Android 13,v4.3
DEV03054,Android,iOS 18,v5.0
DEV03055,iOS,Android 14,v4.3
DEV03056,POS,Windows 11,v5.0
DEV03057,iOS,macOS,v5.1
DEV03058,Web,Android 14,v5.0
DEV03059,Android,iOS 17,v4.2
DEV03060,POS,Android 14,v4.1
DEV03061,Android,macOS,v4.2
DEV03062,POS,Windows 11,v5.1
DEV03063,Android,iOS 17,v4.1
DEV03064,iOS,Android 13,v5.1
DEV03065,Android,Windows 11,v4.2
DEV03066,iOS,macOS,v4.1
DEV03067,Android,Android 14,v5.1
DEV03068,POS,Windows 11,v5.0
DEV03069,Android,Windows 11,v4.3
DEV03070,iOS,Android 13,v4.2
DEV03071,Android,macOS,v5.0
DEV03072,Web,Android 13,v5.1
DEV03073,iOS,iOS 18,v5.1
DEV03074,POS,macOS,v4.1
DEV03075,Android,iOS 17,v5.0
DEV03076,Android,macOS,v5.1
DEV03077,Android,Android 13,v4.1
DEV03078,Web,iOS 17,v4.3
DEV03079,iOS,iOS 18,v4.3
DEV03080,Web,iOS 17,v4.1
DEV03081,Android,Windows 11,v5.0
DEV03082,iOS,macOS,v4.1
DEV03083,POS,iOS 18,v4.1
DEV03084,Android,Android 14,v5.0
DEV03085,Android,iOS 18,v4.3
DEV03086,Web,iOS 18,v5.1
DEV03087,Android,macOS,v4.3
DEV03088,iOS,iOS 18,v5.0
DEV03089,iOS,Android 15,v4.2
DEV03090,POS,Android 13,v5.0
DEV03091,Web,iOS 17,v4.3
DEV03092,iOS,Windows 11,v4.3
DEV03093,Android,iOS 17,v5.0
DEV03094,Android,macOS,v5.0
DEV03095,Web,Android 15,v5.0
DEV03096,iOS,Android 14,v4.3
DEV03097,Web,macOS,v4.1
DEV03098,iOS,Windows 11,v4.2
DEV03099,Android,macOS,v4.1
DEV03100,Android,macOS,v4.3
DEV03101,Android,macOS,v4.1
DEV03102,Web,macOS,v5.0
DEV03103,Web,Android 13,v5.1
DEV03104,Android,Android 13,v5.0
DEV03105,iOS,Android 13,v4.2
DEV03106,Web,macOS,v5.0
DEV03107,Web,Android 13,v5.1
DEV03108,iOS,Android 15,v4.3
DEV03109,Android,iOS 17,v4.1
DEV03110,Web,macOS,v5.0
DEV03111,Android,Android 14,v4.1
DEV03112,Web,Windows 11,v4.2
DEV03113,Web,Windows 11,v4.1
DEV03114,Web,macOS,v4.2
DEV03115,POS,Android 14,v4.2
DEV03116,Web,Android 14,v5.0
DEV03117,Android,Android 15,v5.1
DEV03118,Android,Android 15,v4.1
DEV03119,Android,iOS 18,v4.2
DEV03120,Android,Android 15,v4.2
DEV03121,Android,Android 13,v4.2
DEV03122,iOS,macOS,v4.3
DEV03123,Android,iOS 17,v4.1
DEV03124,iOS,Android 14,v4.1
DEV03125,Web,Android 15,v4.2
DEV03126,Web,iOS 17,v4.1
DEV03127,POS,Android 13,v4.1
DEV03128,Android,Android 15,v4.3
DEV03129,iOS,Android 15,v4.2
DEV03130,Android,iOS 17,v4.1
DEV03131,iOS,Windows 11,v5.1
DEV03132,iOS,macOS,v4.2
DEV03133,Android,Windows 11,v4.1
DEV03134,Android,Android 13,v4.3
DEV03135,Web,Android 15,v5.1
DEV03136,Web,iOS 17,v5.0
DEV03137,iOS,Android 13,v5.0
DEV03138,Android,Android 15,v5.1
DEV03139,Android,Windows 11,v5.0
DEV03140,Android,Android 15,v5.1
DEV03141,POS,Android 14,v4.1
DEV03142,Web,iOS 18,v5.0
DEV03143,Android,Android 13,v5.0
DEV03144,Android,iOS 17,v5.1
DEV03145,iOS,Android 14,v4.1
DEV03146,Android,Android 15,v4.1
DEV03147,POS,iOS 17,v4.2
DEV03148,Web,Android 14,v4.2
DEV03149,Android,Android 14,v4.1
DEV03150,Android,Windows 11,v5.1
DEV03151,Web,Windows 11,v4.3
DEV03152,Android,iOS 18,v4.3
DEV03153,iOS,Windows 11,v4.2
DEV03154,Android,Android 14,v5.0
DEV03155,Android,Android 13,v4.3
DEV03156,iOS,iOS 18,v5.0
DEV03157,iOS,iOS 18,v5.0
DEV03158,Android,Android 15,v4.1
DEV03159,Android,Android 15,v4.3
DEV03160,iOS,Android 13,v4.3
DEV03161,Web,iOS 17,v5.0
DEV03162,Android,Windows 11,v5.0
DEV03163,Web,Windows 11,v4.1
DEV03164,Android,Android 13,v5.1
DEV03165,Android,iOS 18,v4.3
DEV03166,Web,Android 15,v4.3
DEV03167,iOS,Android 13,v4.1
DEV03168,Android,Android 15,v4.1
DEV03169,Android,Android 13,v5.1
DEV03170,Android,Windows 11,v5.0
DEV03171,Web,Android 13,v4.3
DEV03172,Android,Android 14,v5.0
DEV03173,Android,Android 13,v4.3
DEV03174,Android,Android 15,v4.1
DEV03175,iOS,Android 13,v4.1
DEV03176,Web,iOS 17,v4.1
DEV03177,Android,Windows 11,v5.1
DEV03178,iOS,Windows 11,v4.3
DEV03179,Android,Android 14,v4.1
DEV03180,iOS,Android 13,v5.1
DEV03181,Android,iOS 17,v5.0
DEV03182,Android,Android 15,v5.1
DEV03183,Android,macOS,v5.1
DEV03184,Web,macOS,v4.2
DEV03185,Web,iOS 17,v5.0
DEV03186,Android,Windows 11,v4.2
DEV03187,Android,Android 14,v4.3
DEV03188,Android,Android 15,v5.1
DEV03189,iOS,macOS,v5.1
DEV03190,Web,Android 13,v5.1
DEV03191,POS,Android 13,v5.1
DEV03192,iOS,iOS 17,v4.2
DEV03193,Android,Android 13,v4.3
DEV03194,Web,macOS,v4.2
DEV03195,Android,Android 15,v5.1
DEV03196,iOS,macOS,v4.3
DEV03197,Android,Windows 11,v5.0
DEV03198,Android,Android 15,v4.2
DEV03199,Android,Android 13,v4.1
DEV03200,Android,iOS 17,v5.0
DEV03201,iOS,Android 13,v5.0
DEV03202,Web,Windows 11,v5.1
DEV03203,Web,iOS 18,v5.1
DEV03204,POS,Android 13,v5.0
DEV03205,Android,Android 14,v4.2
DEV03206,iOS,Android 13,v4.3
DEV03207,iOS,Windows 11,v4.2
DEV03208,Web,iOS 18,v4.2
DEV03209,Android,Android 14,v5.0
DEV03210,Android,iOS 17,v4.2
DEV03211,Android,Android 14,v4.3
DEV03212,POS,Android 15,v5.0
DEV03213,Web,Windows 11,v4.2
DEV03214,Android,iOS 18,v5.1
DEV03215,Web,Android 15,v4.2
DEV03216,Android,Android 15,v5.0
DEV03217,Android,macOS,v5.0
DEV03218,Web,Android 14,v5.1
DEV03219,Android,Android 14,v5.0
DEV03220,Android,Android 15,v4.1
DEV03221,Web,Windows 11,v5.0
DEV03222,iOS,iOS 17,v4.2
DEV03223,POS,Android 13,v4.3
DEV03224,Android,Android 13,v4.2
DEV03225,Android,iOS 18,v5.0
DEV03226,Android,Android 14,v4.1
DEV03227,Web,Android 13,v4.2
DEV03228,Android,iOS 17,v4.3
DEV03229,Android,iOS 18,v4.2
DEV03230,Android,Windows 11,v5.1
DEV03231,Web,Android 14,v4.1
DEV03232,Android,Android 13,v5.0
DEV03233,Android,Android 15,v4.2
DEV03234,iOS,iOS 17,v4.2
DEV03235,Android,macOS,v4.2
DEV03236,Android,iOS 17,v4.2
DEV03237,Android,Android 14,v4.3
DEV03238,Web,Windows 11,v5.1
DEV03239,Android,iOS 17,v5.1
DEV03240,Android,Android 14,v4.1
DEV03241,Android,iOS 17,v4.1
DEV03242,POS,macOS,v4.3
DEV03243,Android,Android 13,v5.1
DEV03244,Web,macOS,v4.1
DEV03245,Web,Windows 11,v5.0
DEV03246,Android,macOS,v5.1
DEV03247,Android,Android 14,v4.2
DEV03248,iOS,iOS 17,v5.1
DEV03249,Web,Android 13,v5.0
DEV03250,Web,Windows 11,v4.2
DEV03251,Web,Android 13,v5.1
DEV03252,Android,Android 13,v4.2
DEV03253,Web,macOS,v4.2
DEV03254,Android,Windows 11,v4.3
DEV03255,iOS,macOS,v5.0
DEV03256,iOS,Android 14,v4.3
DEV03257,Android,Android 14,v5.1
DEV03258,Android,iOS 17,v4.2
DEV03259,Android,Windows 11,v5.1
DEV03260,Android,macOS,v5.1
DEV03261,Web,macOS,v4.3
DEV03262,iOS,Windows 11,v5.1
DEV03263,Web,macOS,v5.0
DEV03264,Android,Windows 11,v4.2
DEV03265,Android,Android 15,v4.1
DEV03266,Android,Android 15,v5.0
DEV03267,Android,iOS 18,v4.1
DEV03268,iOS,Android 15,v4.1
DEV03269,Web,Windows 11,v4.3
DEV03270,Android,macOS,v4.1
DEV03271,iOS,Android 15,v4.2
DEV03272,Android,iOS 17,v4.3
DEV03273,Android,Android 14,v5.0
DEV03274,Android,Android 15,v5.0
DEV03275,Web,iOS 18,v5.0
DEV03276,iOS,iOS 17,v5.1
DEV03277,Android,Android 13,v4.3
DEV03278,iOS,Android 13,v4.3
DEV03279,iOS,iOS 18,v4.3
DEV03280,Android,Android 14,v4.2
DEV03281,iOS,Windows 11,v4.3
DEV03282,Web,Android 13,v4.2
DEV03283,Android,Android 14,v5.0
DEV03284,Web,Android 15,v5.1
DEV03285,Android,Android 15,v4.1
DEV03286,Web,Android 15,v5.1
DEV03287,POS,Android 13,v5.1
DEV03288,iOS,Android 13,v5.1
DEV03289,Android,Android 14,v4.1
DEV03290,Android,Android 14,v4.2
DEV03291,Android,Windows 11,v5.0
DEV03292,Android,iOS 18,v4.1
DEV03293,iOS,Windows 11,v5.0
DEV03294,Android,macOS,v4.2
DEV03295,Android,Android 15,v5.0
DEV03296,Web,iOS 17,v4.2
DEV03297,iOS,iOS 17,v4.1
DEV03298,Android,Android 15,v4.1
DEV03299,iOS,iOS 18,v5.0
DEV03300,POS,Windows 11,v5.0
DEV03301,Android,Android 14,v5.1
DEV03302,Android,Android 13,v5.1
DEV03303,Web,iOS 18,v5.0
DEV03304,iOS,macOS,v5.1
DEV03305,Android,iOS 18,v5.0
DEV03306,Android,macOS,v4.3
DEV03307,Web,Android 15,v5.1
DEV03308,POS,Android 14,v5.0
DEV03309,Web,iOS 17,v4.3
DEV03310,POS,macOS,v5.1
DEV03311,iOS,iOS 17,v4.1
DEV03312,POS,Windows 11,v5.0
DEV03313,Web,macOS,v4.1
DEV03314,POS,Windows 11,v5.1
DEV03315,Android,iOS 17,v4.3
DEV03316,Web,iOS 18,v5.0
DEV03317,Android,Windows 11,v4.3
DEV03318,Android,Android 13,v4.1
DEV03319,iOS,Android 14,v5.0
DEV03320,Android,Android 13,v4.1
DEV03321,Android,iOS 17,v4.1
DEV03322,POS,Android 13,v4.3
DEV03323,iOS,iOS 18,v5.1
DEV03324,POS,Android 15,v4.1
DEV03325,POS,Android 13,v4.1
DEV03326,Android,Windows 11,v4.2
DEV03327,Android,Android 13,v4.3
DEV03328,Android,Android 13,v4.1
DEV03329,iOS,Windows 11,v4.2
DEV03330,iOS,iOS 17,v4.3
DEV03331,iOS,Android 13,v5.0
DEV03332,Android,Android 14,v5.1
DEV03333,Android,iOS 18,v4.3
DEV03334,iOS,Android 14,v4.1
DEV03335,Android,Android 14,v4.2
DEV03336,Web,iOS 17,v4.2
DEV03337,Android,Android 13,v5.0
DEV03338,Android,iOS 18,v4.2
DEV03339,Android,iOS 18,v4.1
DEV03340,Web,iOS 18,v4.3
DEV03341,Android,Android 13,v5.0
DEV03342,Android,iOS 18,v5.1
DEV03343,iOS,macOS,v5.1
DEV03344,POS,iOS 18,v4.1
DEV03345,POS,macOS,v5.0
DEV03346,Android,Android 15,v5.0
DEV03347,Web,Android 15,v4.1
DEV03348,Android,iOS 18,v5.0
DEV03349,Android,Windows 11,v4.2
DEV03350,iOS,Android 14,v4.2
DEV03351,Android,Windows 11,v4.1
DEV03352,Web,Android 13,v4.1
DEV03353,POS,Android 14,v4.2
DEV03354,Android,Android 14,v4.3
DEV03355,Android,Android 13,v4.1
DEV03356,iOS,Android 13,v4.2
DEV03357,iOS,iOS 17,v4.3
DEV03358,POS,iOS 17,v4.3
DEV03359,Web,macOS,v4.2
DEV03360,iOS,iOS 17,v4.2
DEV03361,Android,iOS 18,v5.0
DEV03362,Web,Windows 11,v4.3
DEV03363,Android,iOS 18,v5.1
DEV03364,POS,iOS 18,v5.0
DEV03365,Android,Windows 11,v5.0
DEV03366,iOS,iOS 17,v4.3
DEV03367,Android,Windows 11,v4.3
DEV03368,Android,Android 13,v4.3
DEV03369,iOS,iOS 18,v4.1
DEV03370,Web,Android 13,v4.2
DEV03371,Web,Windows 11,v4.2
DEV03372,iOS,macOS,v4.2
DEV03373,Android,iOS 17,v4.3
DEV03374,Web,Android 13,v5.0
DEV03375,Web,iOS 18,v4.3
DEV03376,Android,Android 13,v4.3
DEV03377,Web,macOS,v5.0
DEV03378,POS,iOS 17,v5.1
DEV03379,iOS,iOS 18,v4.1
DEV03380,Android,macOS,v5.1
DEV03381,iOS,iOS 18,v4.3
DEV03382,Android,iOS 17,v4.2
DEV03383,iOS,Android 14,v4.2
DEV03384,iOS,Android 15,v5.0
DEV03385,POS,iOS 17,v4.3
DEV03386,iOS,Windows 11,v5.0
DEV03387,Android,Android 13,v5.0
DEV03388,Web,Android 14,v4.1
DEV03389,Android,iOS 17,v5.0
DEV03390,Android,Android 15,v4.3
DEV03391,Android,iOS 18,v4.1
DEV03392,Android,Windows 11,v4.2
DEV03393,POS,Android 15,v4.1
DEV03394,iOS,macOS,v4.3
DEV03395,Web,Android 15,v5.1
DEV03396,Android,Windows 11,v4.1
DEV03397,Web,macOS,v5.1
DEV03398,iOS,iOS 17,v4.1
DEV03399,Android,iOS 18,v4.1
DEV03400,POS,iOS 18,v5.0
DEV03401,iOS,Android 15,v5.1
DEV03402,iOS,iOS 17,v5.1
DEV03403,Android,macOS,v4.1
DEV03404,Android,iOS 18,v4.3
DEV03405,Web,iOS 18,v4.3
DEV03406,Web,macOS,v5.1
DEV03407,iOS,Android 13,v5.0
DEV03408,POS,Android 15,v5.0
DEV03409,iOS,Android 14,v4.3
DEV03410,iOS,Android 15,v5.0
DEV03411,Android,iOS 17,v4.1
DEV03412,iOS,macOS,v4.1
DEV03413,Android,Windows 11,v5.1
DEV03414,Android,macOS,v4.2
DEV03415,POS,macOS,v4.3
DEV03416,Android,Windows 11,v4.3
DEV03417,Android,iOS 18,v4.2
DEV03418,Android,iOS 18,v5.0
DEV03419,Android,Android 13,v4.1
DEV03420,Android,iOS 18,v4.1
DEV03421,Android,iOS 18,v4.3
DEV03422,iOS,Windows 11,v4.3
DEV03423,iOS,Android 14,v5.0
DEV03424,Web,Android 15,v5.0
DEV03425,POS,iOS 18,v4.3
DEV03426,iOS,iOS 17,v5.0
DEV03427,Android,Android 14,v4.2
DEV03428,Android,Android 14,v4.1
DEV03429,Web,Android 13,v4.3
DEV03430,iOS,iOS 17,v4.2
DEV03431,Android,Android 14,v4.2
DEV03432,Android,Android 15,v5.1
DEV03433,Web,iOS 17,v4.3
DEV03434,iOS,Android 15,v5.1
DEV03435,iOS,Android 13,v4.2
DEV03436,Android,Android 13,v4.3
DEV03437,iOS,iOS 18,v5.1
DEV03438,Web,Android 15,v4.1
DEV03439,Web,Windows 11,v4.3
DEV03440,Web,Android 15,v5.1
DEV03441,iOS,Android 13,v5.0
DEV03442,iOS,Windows 11,v4.3
DEV03443,iOS,Android 15,v5.0
DEV03444,Android,iOS 17,v4.3
DEV03445,Web,iOS 18,v5.1
DEV03446,iOS,iOS 18,v5.1
DEV03447,iOS,iOS 17,v4.3
DEV03448,POS,Android 14,v4.2
DEV03449,POS,macOS,v5.1
DEV03450,iOS,Windows 11,v4.3
DEV03451,Android,Windows 11,v4.3
DEV03452,Android,Android 15,v4.1
DEV03453,POS,macOS,v5.0
DEV03454,Android,macOS,v4.1
DEV03455,POS,Android 14,v5.0
DEV03456,Android,Android 14,v5.0
DEV03457,iOS,Android 15,v4.1
